238	2902412	177	99
239	2903549	316	138
240	2905508	193	107
241	2906743	28	18
242	2906936	134	63
243	2907804	2053	519
244	2919766	3684	825
245	2939878	447	227
246	2942821	1608	586
247	2952103	57	45
248	2952495	32	23
249	2952721	143	64
250	2953595	162	91
251	2954659	265	120
252	2956321	106	68
253	2957067	222	94
254	2958401	2416	460
255	2970738	2313	721
256	2984306	158	71
257	2985259	2763	500
258	3000411	898	419
259	3005957	283	201
260	3007894	428	143
261	3010348	12265	1819
262	3076202	1864	670
263	3087136	345	158
264	3089271	122	79
265	3090036	1	1
266	3090047	1766	697
267	3100513	467	136
268	3103192	689	140
269	3106977	160	54
270	3107929	274	138
271	3109720	573	269
272	3113404	32	25
273	3113656	2177	530
274	3125710	323	161
275	3127814	1543	544
276	3137052	328	224
277	3139198	1937	614
278	3150590	10435	1733
279	3206578	1152	423
280	3212888	299	171
281	3214801	283	94
282	3216462	409	242
283	3219050	119	68
284	3219881	1518	588
285	3229058	292	182
286	3230916	10090	1655
287	3285139	93	40
288	3285710	68	48
289	3286186	15	11
290	3286306	1243	610
291	3293978	19	14
292	3294125	701	288
293	3298457	134	90
294	3299428	127	49
295	3300206	19	10
296	3300343	1806	511
297	3310119	93	48
298	3310739	53	34
299	3311098	397	93
300	3313258	2950	907
301	3330138	3156	1211
302	3349001	272	153
303	3350791	40	30
304	3351077	60	47
305	3351510	109	42
306	3352164	371	184
307	3354522	31	22
308	3354744	110	25
309	3355444	5	5
310	3355489	2268	1072
311	3369231	2259	770
312	3382267	1032	395
313	3388220	6140	1010
314	3420348	67	35
315	3420790	412	249
316	3423445	153	83
317	3424444	3343	680
318	3442886	4104	1206
319	3465453	496	289
320	3468683	21281	2320
321	3577287	694	468
322	3581713	3450	1179
323	3602485	2695	539
324	3617410	8798	1666
325	3665419	619	375
326	3669199	1	1
327	3669210	2380	460
328	3682251	385	260
329	3684688	1527	451
330	3693396	2051	1488
331	3706046	1836	491
332	3716511	12015	1472
333	3775666	941	437
334	3781427	717	308
335	3785704	1421	570
336	3793668	2196	608
337	3806259	3550	300
338	3824058	113	76
339	3824819	64204	481
340	4091333	68	48
341	4091807	59	24
342	4092173	139	34
343	4092949	2502	199
344	4104584	3004	380
345	4119727	213	107
346	4120985	1387	489
347	4128826	586	225
348	4132494	100	77
349	4133179	23	22
350	4133363	1599	767
351	4143237	666	287
352	4146994	213	52
353	4148243	7	6
354	4148300	3169	784
355	4165399	6654	1156
356	4201047	5950	459
357	4228744	4010	176
358	4246713	4704	790
359	4272588	2822	333
360	4287353	382	222
361	4289911	445	174
362	4292668	39	15
363	4292915	1441	481
364	4301183	1333	216
365	4308110	56	42
366	4308535	332	121
367	4310506	544	339
368	4314082	4125	628
369	4336649	519	106
370	4339708	566	66
371	4342897	181	100
372	4344117	31	18
373	4344329	937	311
374	4349917	1847	686
375	4361144	247	116
376	4362773	1774	627
377	4373228	747	372
378	4378018	4366	1102
379	4400758	506	297
380	4404068	9585	999
381	4453939	2664	781
382	4468502	2351	654
383	4481769	8775	1154
384	4525335	2	2
385	4525353	435	88
386	4527751	798	440
387	4532900	1003	532
388	4538925	20	11
389	4539066	800	533
390	4543878	1	1
391	4543889	173	53
392	4544866	428	189
393	4547607	2611	583
394	4561377	1093	235
395	4566865	450	278
396	4569784	840	394
397	4575059	916	537
398	4580881	4	1
399	4580907	647	311
400	4584962	4665	643
401	4610220	1817	559
402	4621134	13880	1323
403	4692652	469	263
404	4695684	2009	643
405	4707569	193	148
406	4708952	2095	470
407	4720904	2157	800
408	4734068	1294	229
409	4740847	944	463
410	4746683	83	64
411	4747287	44	28
412	4747597	40	36
413	4747899	1718	674
414	4758507	3284	615
415	4775965	776	422
416	4780868	2530	962
417	4795602	3290	1034
418	4814510	3363	1339
419	4833621	1379	543
420	4841962	40	35
421	4842250	18	13
422	4842388	1285	556
423	4850322	2654	866
424	4866057	2995	766
425	4882065	499	315
426	4885181	2610	341
427	4899100	5788	1288
428	4930433	2044	634
429	4941891	2140	946
430	4954363	209	117
431	4955637	2284	530
432	4968570	8	6
433	4968629	32	15
434	4968846	4010	895
435	4990785	7316	1404
436	5029225	96	62
437	5029877	44	36
438	5030203	61	32
439	5030609	717	216
440	5034415	7377	332
441	5069024	869	324
442	5074184	1804	445
443	5084505	28523	546
444	5221659	810	309
445	5226468	991	273
446	5232405	290	132
447	5234271	4	4
448	5234308	22832	1414
449	5350284	236	122
450	5351867	2278	788
451	5365102	260	97
452	5366733	248	126
453	5368272	17	15
454	5368403	197	91
455	5369691	553	182
456	5373142	551	253
457	5376538	8	4
458	5376600	867	283
459	5381560	143	81
460	5382505	98	58
461	5383172	75	42
462	5383684	366	151
463	5386034	90	29
464	5386556	12	6
465	5386647	174	118
466	5387873	883	393
467	5393275	23	18
468	5393456	36	28
469	5393718	13990	1092
470	5460120	971	248
471	5465554	4017	1292
472	5489383	2305	683
473	5503220	966	438
474	5509043	112	63
475	5509795	1203	483
476	5517110	217	69
477	5518482	331	140
478	5520634	10	9
479	5520717	18	10
480	5520841	470	190
481	5523657	4763	870
482	5549423	9	8
483	5549501	888	303
484	5554880	1504	552
485	5563517	1756	899
486	5573602	2138	896
487	5585795	2503	839
488	5600244	114	60
489	5601048	3248	821
490	5618924	47	33
491	5619261	2670	678
492	5634064	52	28
493	5634451	2824	731
494	5650146	78	39
495	5650675	2452	609
496	5664327	48	34
497	5664686	54	33
498	5665086	2086	618
499	5676921	45	31
500	5677260	2323	639
501	5690419	64	37
502	5690891	2760	666
503	5706121	70	39
504	5706631	54	35
505	5707033	3132	773
506	5724303	98	59
507	5724980	73	50
508	5725516	91	38
509	5726172	104	52
510	5726888	72	39
511	5727407	89	56
512	5728042	69	38
513	5728548	67	42
514	5729005	56	28
515	5729393	106	50
516	5730132	79	49
517	5730707	3829	973
518	5752626	563	240
519	5756227	126	72
520	5757061	91	44
521	5757716	245	107
522	5759367	23	18
523	5759513	1042	516
524	5766052	331	298
525	5768253	2392	853
526	5782564	381	181
527	5784930	252	167
528	5786581	396	178
529	5789030	900	284
530	5794464	353	228
531	5796856	105	78
532	5797553	157	94
533	5798560	770	262
534	5803284	653	310
535	5807383	1372	412
536	5815252	2952	905
537	5832369	830	423
538	5837722	828	471
539	5842707	825	408
540	5847721	205	109
541	5849077	891	405
542	5854525	1943	319
543	5865676	2885	643
544	5882044	417	126
545	5884594	606	187
546	5888233	1141	476
547	5895088	1011	267
548	5901215	144	71
549	5902203	2272	574
550	5915360	4460	1147
551	5939851	663	306
552	5944157	948	381
553	5950098	89	65
554	5950706	568	267
555	5954426	1429	565
556	5963336	3891	909
557	5985632	423	174
558	5988307	98	76
559	5988950	428	182
560	5991738	270	122
561	5993400	106	79
562	5994186	425	207
563	5996941	1098	606
564	6003251	3548	992
565	6023812	600	172
566	6027130	1544	548
567	6035822	1264	601
568	6043378	416	253
569	6046014	2551	1042
570	6060730	5873	799
571	6092484	68	24
572	6092913	729	409
573	6097658	2873	577
574	6113406	297	123
575	6115264	432	259
576	6118052	85	51
577	6118647	1913	701
578	6130232	763	468
579	6135094	74	58
580	6135638	1733	555
581	6145428	89	65
582	6145986	2985	855
583	6163392	63	25
584	6163773	13	9
585	6163870	110	46
586	6164578	90	60
587	6165202	8	6
588	6165270	17	14
589	6165408	183	124
590	6166567	6	3
591	6166614	377	157
592	6168826	1561	670
593	6178156	18	17
594	6178302	1797	681
595	6189371	155	73
596	6190364	2986	1094
597	6207728	59	37
598	6208152	206	130
599	6209453	602	276
600	6212899	314	207
601	6214992	41	21
602	6215270	5	5
603	6215315	2076	733
604	6227484	191	75
605	6228693	95	67
606	6229371	114	71
607	6230095	144	100
608	6231090	396	265
609	6233681	4593	1065
610	6259383	213	59
611	6260636	6617	652
612	6292513	432	168
613	6295066	310	198
614	6297186	4013	644
615	6319120	2125	467
616	6331168	54	39
617	6331592	1123	417
618	6338282	2388	737
619	6351864	376	181
620	6354250	2256	445
621	6366617	897	229
622	6371519	175	88
623	6372613	570	143
624	6375765	533	284
625	6379262	982	433
